,District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location,address_for_query,formatted_address,lat,lng
719,Hartford School District,"M. L. King, Jr. Middle School",Public Schools,641611,25 Ridgefield Street,Hartford,06112,860-695-3980,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"25 Ridgefield Street
Hartford, CT 06112
(41.785631, -72.696001)","25 Ridgefield Street, Hartford, Connecticut, USA","25 Ridgefield St, Hartford, CT 06112, USA",41.7858254,-72.69728769999999
720,New Haven School District,Benjamin Jepson Magnet School,Public Schools,931811,15 Lexington Ave.,New Haven,06513,475-220-2900,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1990-07-01T00:00:00.000,1.0,"15 Lexington Ave.
New Haven, CT 06513
(41.297962, -72.888476)","15 Lexington Ave., New Haven, Connecticut, USA","15 Lexington Ave, New Haven, CT 06513, USA",41.298833,-72.88745449999999
721,New Hartford School District,Bakerville Consolidated School,Public Schools,920111,51 Cedar Ln.,New Hartford,06057-2909,860-482-0288,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"51 Cedar Ln.
New Hartford, CT 06057-2909
(41.833918, -73.03474)","51 Cedar Ln., New Hartford, Connecticut, USA","51 Cedar Ln, New Hartford, CT 06057, USA",41.83336389999999,-73.03527009999999
722,Stonington School District,Deans Mill School,Public Schools,1370511,35 Deans Mill Rd.,Stonington,06378-2104,860-535-2235,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"35 Deans Mill Rd.
Stonington, CT 06378-2104
(41.362484, -71.924632)","35 Deans Mill Rd., Stonington, Connecticut, USA","35 Deans Mill Rd, Stonington, CT 06378, USA",41.3618996,-71.92448040000001
723,Brookfield School District,Huckleberry Hill Elementary School,Public Schools,180411,100 Candlewood Lake Rd.,Brookfield,06804-2228,203-775-7675,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0.0,"100 Candlewood Lake Rd.
Brookfield, CT 06804-2228
(41.448051, -73.416478)","100 Candlewood Lake Rd., Brookfield, Connecticut, USA","100 Candlewood Lake Rd, Brookfield, CT 06804, USA",41.4478506,-73.4187577
724,Norfolk School District,Norfolk School District,Public School Districts,980011,128 Greenwoods Rd East,Norfolk,06058,860-542-5553,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0.0,"128 Greenwoods Rd East
Norfolk, CT 06058
(41.988475, -73.189088)","128 Greenwoods Rd East, Norfolk, Connecticut, USA","128 Greenwoods Rd E, Norfolk Historic District, CT 06058, USA",41.9875118,-73.1883384
725,Groton School District,S. B. Butler School,Public Schools,590111,155 Ocean View Ave.,Mystic,06355-2239,860-572-5825,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"155 Ocean View Ave.
Mystic, CT 06355-2239
(41.349432, -71.982414)","155 Ocean View Ave., Mystic, Connecticut, USA","155 Ocean View Ave, Mystic, CT 06355, USA",41.3489644,-71.9838032
726,New London School District,New London High School,Public Schools,956111,490 Jefferson Ave.,New London,06320,860-437-6400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"490 Jefferson Ave.
New London, CT 06320
(41.360133, -72.121228)","490 Jefferson Ave., New London, Connecticut, USA","490 Jefferson Ave, New London, CT 06320, USA",41.3588998,-72.1207518
727,Colebrook School District,Colebrook School District,Public School Districts,290011,"Box 9, 452 Smith Hill Roa",Colebrook,06021,860-379-2179,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0.0,,"Box 9, 452 Smith Hill Roa, Colebrook, Connecticut, USA","452 Smith Hill Rd, Winsted, CT 06098, USA",41.9877111,-73.09232949999999
728,Stamford School District,Westover School,Public Schools,1351411,412 Stillwater Ave.,Stamford,06902,203-977-4572,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"412 Stillwater Ave.
Stamford, CT 06902
(41.057227, -73.559323)","412 Stillwater Ave., Stamford, Connecticut, USA","412 Stillwater Ave, Stamford, CT 06902, USA",41.05582769999999,-73.5605171
729,East Hartford School District,Silver Lane School,Public Schools,431211,15 Mercer Ave.,East Hartford,06118-1517,860-622-5500,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"15 Mercer Ave.
East Hartford, CT 06118-1517
(41.760719, -72.634138)","15 Mercer Ave., East Hartford, Connecticut, USA","15 Mercer Ave, East Hartford, CT 06118, USA",41.7606149,-72.6348404
730,Unified School District #1,Hartford Correctional Center,State Agency Facilities,3360615,177 Weston St.,Hartford,06120-1514,860-240-1865,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"177 Weston St.
Hartford, CT 06120-1514
(41.792546, -72.660208)","177 Weston St., Hartford, Connecticut, USA","177 Weston St, Hartford, CT 06120, USA",41.7938945,-72.6617891
731,Salem School District,Salem School District,Public School Districts,1210011,200 Hartford Road,Salem,06420,860-892-1223,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"200 Hartford Road
Salem, CT 06420
(41.4881, -72.274896)","200 Hartford Road, Salem, Connecticut, USA","200 Hartford Rd, Salem, CT 06420, USA",41.4879264,-72.2738509
732,North Haven School District,Green Acres Elementary School,Public Schools,1010711,146 Upper State St.,North Haven,06473-1280,203-239-5387,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"146 Upper State St.
North Haven, CT 06473-1280
(41.406576, -72.864864)","146 Upper State St., North Haven, Connecticut, USA","146 Upper State St, North Haven, CT 06473, USA",41.4058127,-72.8643789
733,Bristol School District,South Side School,Public Schools,171111,21 Tuttle Rd.,Bristol,06010-7147,860-584-7812,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0.0,"21 Tuttle Rd.
Bristol, CT 06010-7147
(41.661335, -72.953044)","21 Tuttle Rd., Bristol, Connecticut, USA","21 Tuttle Rd, Bristol, CT 06010, USA",41.66136360000001,-72.952297
734,Milford School District,West Shore Middle School,Public Schools,845311,70 Kay Ave.,Milford,06460-5496,203-783-3553,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"70 Kay Ave.
Milford, CT 06460-5496
(41.192669, -73.098923)","70 Kay Ave., Milford, Connecticut, USA","70 Kay Ave, Milford, CT 06460, USA",41.1921144,-73.0972287
735,Tolland School District,Birch Grove Primary School,Public Schools,1420111,247 Rhodes RD,Tolland,06084-3568,860-870-6750,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,0.0,"247 Rhodes RD
Tolland, CT 06084-3568
(41.859292, -72.333965)","247 Rhodes RD, Tolland, Connecticut, USA","247 Rhodes Rd, Tolland, CT 06084, USA",41.86111270000001,-72.3337955
736,Preston School District,Preston School District,Public School Districts,1140011,325 Shetucket Turnpike,Preston,06365,860-889-6098,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"325 Shetucket Turnpike
Preston, CT 06365
(41.528972, -71.986324)","325 Shetucket Turnpike, Preston, Connecticut, USA","325 Shetucket Turnpike, Preston, CT 06365, USA",41.5297046,-71.9843118
737,New Britain School District,Pulaski Middle School,Public Schools,895311,757 Farmington Ave.,New Britain,06053-1364,860-225-7665,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0.0,"757 Farmington Ave.
New Britain, CT 06053-1364
(41.698684, -72.791596)","757 Farmington Ave., New Britain, Connecticut, USA","757 Farmington Ave, New Britain, CT 06053, USA",41.699334,-72.788352
738,Bridgeport School District,Park City Magnet School,Public Schools,151711,1526 Chopsey Hill Rd.,Bridgeport,06606-2422,203-576-7547,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"1526 Chopsey Hill Rd.
Bridgeport, CT 06606-2422
(41.221837, -73.200971)","1526 Chopsey Hill Rd., Bridgeport, Connecticut, USA","1526 Chopsey Hill Rd, Bridgeport, CT 06606, USA",41.2210885,-73.20069
739,East Windsor School District,Broad Brook Elementary School,Public Schools,470111,14 Rye St.,East Windsor,06016-9552,860-623-2433,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"14 Rye St.
East Windsor, CT 06016-9552
(41.909825, -72.546737)","14 Rye St., East Windsor, Connecticut, USA","14 Rye St, Broad Brook, CT 06016, USA",41.9111854,-72.54704760000001
740,Enfield School District,Hazardville Memorial School,Public Schools,490411,68 North Maple St.,Enfield,06082-3904,860-763-7500,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"68 North Maple St.
Enfield, CT 06082-3904
(41.993259, -72.539816)","68 North Maple St., Enfield, Connecticut, USA","68 N Maple St, Enfield, CT 06082, USA",41.9930111,-72.53924599999999
741,Woodstock School District,Woodstock Middle School,Public Schools,1695111,147 B-Route 169,Woodstock,06281-3321,860-963-6575,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1995-07-01T00:00:00.000,0.0,"147 B-Route 169
Woodstock, CT 06281-3321
(41.92729, -71.956749)","147 B-Route 169, Woodstock, Connecticut, USA","147b CT-169, Woodstock, CT 06281, USA",41.9271737,-71.95564999999999
742,Waterbury School District,Bucks Hill School,Public Schools,1510511,330 Bucks Hill Rd.,Waterbury,06704-1222,203-574-8182,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"330 Bucks Hill Rd.
Waterbury, CT 06704-1222
(41.600333, -73.0304)","330 Bucks Hill Rd., Waterbury, Connecticut, USA","330 Bucks Hill Rd, Waterbury, CT 06704, USA",41.6006057,-73.028352
743,Achievement First Hartford Academy District,Achievement First Hartford Academy,Public Charter Schools,2880113,305 Greenfield Street,Hartford,06112,860-695-6685,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2008-08-26T00:00:00.000,0.0,"305 Greenfield Street
Hartford, CT 06112
(41.784608, -72.697162)","305 Greenfield Street, Hartford, Connecticut, USA","305 Greenfield St, Hartford, CT 06112, USA",41.7839161,-72.69728119999999
744,West Haven School District,Harry M. Bailey Middle School,Public Schools,1565111,106 Morgan Ln.,West Haven,06516-6299,203-937-4380,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"106 Morgan Ln.
West Haven, CT 06516-6299
(41.254377, -72.977775)","106 Morgan Ln., West Haven, Connecticut, USA","106 Morgan Ln, West Haven, CT 06516, USA",41.253274,-72.97874
745,North Stonington School District,North Stonington Elementary School,Public Schools,1020111,311 Norwich/Westerly Rd.,North Stonington,06359-0901,860-535-2805,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"311 Norwich/Westerly Rd.
North Stonington, CT 06359-0901
(41.439383, -71.887006)","311 Norwich/Westerly Rd., North Stonington, Connecticut, USA","311 Norwich-Westerly Rd, North Stonington, CT 06359, USA",41.4380375,-71.8879461
746,Waterbury School District,Waterbury Arts Magnet School (Middle),Public Schools,1515011,16 South Elm St.,Waterbury,06706,203-573-6300,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2005-07-01T00:00:00.000,1.0,"16 South Elm St.
Waterbury, CT 06706
(41.554306, -73.037067)","16 South Elm St., Waterbury, Connecticut, USA","16 S Elm St, Waterbury, CT 06706, USA",41.5543253,-73.0370758
747,Southington School District,Urbin T. Kelley School,Public Schools,1311411,501 Ridgewood Rd.,Southington,06489-2352,860-628-3310,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"501 Ridgewood Rd.
Southington, CT 06489-2352
(41.609611, -72.894683)","501 Ridgewood Rd., Southington, Connecticut, USA","501 Ridgewood Rd, Southington, CT 06489, USA",41.609372,-72.89327399999999
748,West Hartford School District,Charter Oak International Academy,Public Schools,1550511,425 Oakwood Ave.,West Hartford,06110,860-233-8506,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"425 Oakwood Ave.
West Hartford, CT 06110
(41.743197, -72.720623)","425 Oakwood Ave., West Hartford, Connecticut, USA","425 Oakwood Ave, West Hartford, CT 06110, USA",41.7434532,-72.7212845
749,Wolcott School District,Alcott School,Public Schools,1660611,1490 Woodtick Rd.,Wolcott,06716-1538,203-879-8160,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"1490 Woodtick Rd.
Wolcott, CT 06716-1538
(41.612918, -72.960083)","1490 Woodtick Rd., Wolcott, Connecticut, USA","1490 Woodtick Rd, Wolcott, CT 06716, USA",41.6239895,-72.9599374
750,Orange School District,Turkey Hill School,Public Schools,1070411,441 Turkey Hill Rd.,Orange,06477-2218,203-891-8040,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"441 Turkey Hill Rd.
Orange, CT 06477-2218
(41.287717, -73.043396)","441 Turkey Hill Rd., Orange, Connecticut, USA","441 Turkey Hill Rd, Orange, CT 06477, USA",41.2900432,-73.046364
751,Cromwell School District,Cromwell Middle School,Public Schools,335111,6 Captain James Mann Memorial Dr.,Cromwell,06416-1356,860-632-4853,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"6 Captain James Mann Memorial Dr.
Cromwell, CT 06416-1356
(41.627469, -72.656482)","6 Captain James Mann Memorial Dr., Cromwell, Connecticut, USA","Mann Memorial Dr, Cromwell, CT 06416, USA",41.6273168,-72.65743189999999
752,East Granby School District,East Granby High School,Public Schools,406111,95 South Main St.,East Granby,06026-9550,860-653-2541,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"95 South Main St.
East Granby, CT 06026-9550
(41.933214, -72.731103)","95 South Main St., East Granby, Connecticut, USA","95 S Main St, East Granby, CT 06026, USA",41.9329394,-72.7280786
753,Department of Mental Health and Addiction Services,Capitol Region Mental Health Center,State Agency Facilities,3370615,500 Vine St.,Hartford,06112,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0.0,"500 Vine St.
Hartford, CT 06112
(41.795965, -72.687694)","500 Vine St., Hartford, Connecticut, USA","500 Vine St, Hartford, CT 06112, USA",41.7963959,-72.6876187
754,Brooklyn School District,Brooklyn Middle School,Public Schools,195111,119 Gorman Rd.,Brooklyn,06234-1805,860-774-9153,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"119 Gorman Rd.
Brooklyn, CT 06234-1805
(41.785534, -71.934586)","119 Gorman Rd., Brooklyn, Connecticut, USA","119 Gorman Rd, Brooklyn, CT 06234, USA",41.7854785,-71.9351272
755,Groton School District,West Side Middle School,Public Schools,595211,250 Brandegee Avenue,Groton,06340-5108,860-449-5630,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0.0,"250 Brandegee Avenue
Groton, CT 06340-5108
(41.338736, -72.06782)","250 Brandegee Avenue, Groton, Connecticut, USA","250 Brandegee Ave, Groton, CT 06340, USA",41.3385729,-72.0669078
756,Middletown School District,Bielefield School,Public Schools,830211,70 Maynard St.,Middletown,06457-4519,860-347-4124,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"70 Maynard St.
Middletown, CT 06457-4519
(41.542674, -72.633104)","70 Maynard St., Middletown, Connecticut, USA","70 Maynard St, Middletown, CT 06457, USA",41.5419327,-72.63259169999999
757,Watertown School District,Fletcher W. Judson School,Public Schools,1530311,124 Hamilton Lane,Watertown,06795-2405,860-945-4850,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"124 Hamilton Lane
Watertown, CT 06795-2405
(41.600745, -73.130323)","124 Hamilton Lane, Watertown, Connecticut, USA","124 Hamilton Ln, Watertown, CT 06795, USA",41.60043090000001,-73.1308482
758,Regional School District 12,Booth Free School,Regional Schools,2120212,14 South St.,Roxbury,06783-1706,860-354-9391,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"14 South St.
Roxbury, CT 06783-1706
(41.554755, -73.308299)","14 South St., Roxbury, Connecticut, USA","14 South St, Roxbury, CT 06783, USA",41.5553207,-73.30701169999999
759,Capitol Region Education Council,Academy of Aerospace and Engineering,Regional Education Service Center Schools,2415114,1101 Kennedy Road,Windsor,06095,860-243-0857,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2008-08-25T00:00:00.000,1.0,"1101 Kennedy Road
Windsor, CT 06095
(41.895929, -72.651989)","1101 Kennedy Road, Windsor, Connecticut, USA","1101 Kennedy Rd, Windsor, CT 06095, USA",41.8955124,-72.653369
760,Waterbury School District,Woodrow Wilson School,Public Schools,1513211,235 Birch St.,Waterbury,06704,203-573-6660,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0.0,"235 Birch St.
Waterbury, CT 06704
(41.556046, -73.020601)","235 Birch St., Waterbury, Connecticut, USA","235 Birch St, Waterbury, CT 06704, USA",41.5561827,-73.01995769999999
761,Plainville School District,Middle School of Plainville,Public Schools,1105211,150 Northwest Dr.,Plainville,06062-1532,860-793-3250,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0.0,"150 Northwest Dr.
Plainville, CT 06062-1532
(41.684864, -72.888537)","150 Northwest Dr., Plainville, Connecticut, USA","150 Northwest Dr, Plainville, CT 06062, USA",41.6839923,-72.8861778
762,New Britain School District,House of Arts Letters and Science (HALS)  Academy,Public Schools,895411,30 Pendleton Rd.,New Britain,06053,860-826-1866,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2006-07-01T00:00:00.000,0.0,"30 Pendleton Rd.
New Britain, CT 06053
(41.694266, -72.770512)","30 Pendleton Rd., New Britain, Connecticut, USA","30 Pendleton Rd, New Britain, CT 06053, USA",41.69435610000001,-72.7705945
763,Unified School District #1,York Correctional Institution,State Agency Facilities,3362515,201 West Main St.,Niantic,06357,860-451-3228,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2000-07-01T00:00:00.000,0.0,"201 West Main St.
Niantic, CT 06357
(41.319057, -72.235076)","201 West Main St., Niantic, Connecticut, USA","201 W Main St, Niantic, CT 06357, USA",41.3231765,-72.2381752
764,Wethersfield School District,Charles Wright School,Public Schools,1591011,186 Nott St.,Wethersfield,06109-1720,860-571-8350,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"186 Nott St.
Wethersfield, CT 06109-1720
(41.716238, -72.668143)","186 Nott St., Wethersfield, Connecticut, USA","186 Nott St, Wethersfield, CT 06109, USA",41.7167599,-72.6686016
765,Department of Aging and Disability Services,Department of Aging and Disability Services,State Agencies,3510015,55 Farmington Avenue,Hartford,06105,860-424-4818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-07-01T00:00:00.000,,"55 Farmington Avenue
Hartford, CT 06105
(41.76808, -72.68776)","55 Farmington Avenue, Hartford, Connecticut, USA","55 Farmington Ave, Hartford, CT 06105, USA",41.7677506,-72.68773589999999
766,Chester School District,Chester Elementary School,Public Schools,260111,23 Ridge Rd.,Chester,06412-1121,860-526-5797,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"23 Ridge Rd.
Chester, CT 06412-1121
(41.404825, -72.458585)","23 Ridge Rd., Chester, Connecticut, USA","23 Ridge Rd, Chester, CT 06412, USA",41.4031562,-72.4577134
767,Kent School District,Kent School District,Public School Districts,680011,9 Judd Avenue,Kent,06757,860-927-3537,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"9 Judd Avenue
Kent, CT 06757
(41.724673, -73.481396)","9 Judd Avenue, Kent, Connecticut, USA","9 Judd Ave, Kent, CT 06757, USA",41.7239349,-73.4820089
768,West Haven School District,Seth G. Haley School,Public Schools,1560411,148 South St.,West Haven,06516-7149,203-931-6810,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"148 South St.
West Haven, CT 06516-7149
(41.242193, -72.977618)","148 South St., West Haven, Connecticut, USA","148 South St, West Haven, CT 06516, USA",41.2425758,-72.978715
769,Connecticut Technical Education and Career System,Windham Technical High School,CT Technical Education and Career Schools,9002416,210 Birch St.,Willimantic,06226-2108,860-456-3879,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0.0,"210 Birch St.
Willimantic, CT 06226-2108
(41.719227, -72.220884)","210 Birch St., Willimantic, Connecticut, USA","210 Birch St, Willimantic, CT 06226, USA",41.71991870000001,-72.2207176
770,Southington School District,Flanders Elementary School,Public Schools,1311311,100 Victoria Dr.,Southington,06489-2741,860-628-3372,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"100 Victoria Dr.
Southington, CT 06489-2741
(41.61599, -72.850387)","100 Victoria Dr., Southington, Connecticut, USA","100 Victoria Dr, Southington, CT 06489, USA",41.6153055,-72.84979229999999
771,Stratford School District,Wilcoxson School,Public Schools,1381411,600 Wilcoxson Ave.,Stratford,06615-4238,203-385-4196,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"600 Wilcoxson Ave.
Stratford, CT 06615-4238
(41.207429, -73.122569)","600 Wilcoxson Ave., Stratford, Connecticut, USA","600 Wilcoxson Ave, Stratford, CT 06614, USA",41.207815,-73.1225724
772,Norwalk School District,P-TECH Norwalk,Public Schools,1030911,23 Calvin Murphy Drive,Norwalk,06851,203-838-4481,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2019-07-01T00:00:00.000,,"23 Calvin Murphy Drive
Norwalk, CT 06851
(41.122649, -73.388081)","23 Calvin Murphy Drive, Norwalk, Connecticut, USA","23 Calvin Murphy Dr, Norwalk, CT 06851, USA",41.1222631,-73.389911
773,Regional School District 07,Regional School District 07,Regional School Districts,2070012,100 Battistoni Drive,Winsted,06098,860-379-1084,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0.0,"100 Battistoni Drive
Winsted, CT 06098
(41.912429, -73.048473)","100 Battistoni Drive, Winsted, Connecticut, USA","100 Battistoni Dr, Winsted, CT 06098, USA",41.9133932,-73.0471688
774,Portland School District,Valley View School,Public Schools,1130211,81 High St.,Portland,06480,860-342-3131,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"81 High St.
Portland, CT 06480
(41.57868, -72.626149)","81 High St., Portland, Connecticut, USA","81 High St, Portland, CT 06480, USA",41.5777533,-72.6252367
775,Regional School District 13,Middlefield Memorial School,Regional Schools,2130412,124 Hubbard St.,Middlefield,06455-1218,860-349-7235,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2002-07-01T00:00:00.000,0.0,"124 Hubbard St.
Middlefield, CT 06455-1218
(41.521685, -72.693195)","124 Hubbard St., Middlefield, Connecticut, USA","124 Hubbard St, Middlefield, CT 06455, USA",41.5229633,-72.6925357
776,Farmington School District,Union School,Public Schools,520111,173 School St.,Unionville,06085-1096,860-673-2575,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"173 School St.
Unionville, CT 06085-1096
(41.758586, -72.889596)","173 School St., Unionville, Connecticut, USA","173 School St, Unionville, CT 06085, USA",41.758342,-72.8905832
777,Trumbull School District,Trumbull High School,Public Schools,1446111,72 Strobel Rd.,Trumbull,06611-5510,203-452-4555,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"72 Strobel Rd.
Trumbull, CT 06611-5510
(41.265283, -73.192583)","72 Strobel Rd., Trumbull, Connecticut, USA","72 Strobel Rd, Trumbull, CT 06611, USA",41.2623717,-73.19350790000001
778,South Windsor School District,Eli Terry School,Public Schools,1320711,569 Griffin Rd.,South Windsor,06074-1382,860-648-5020,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"569 Griffin Rd.
South Windsor, CT 06074-1382
(41.86599, -72.551759)","569 Griffin Rd., South Windsor, Connecticut, USA","569 Griffin Rd, South Windsor, CT 06074, USA",41.8645963,-72.5525088
779,Meriden School District,Casimir Pulaski School,Public Schools,801111,100 Clearview Ave.,Meriden,06450-6414,203-238-1273,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"100 Clearview Ave.
Meriden, CT 06450-6414
(41.523296, -72.804491)","100 Clearview Ave., Meriden, Connecticut, USA","100 Clearview Ave, Meriden, CT 06450, USA",41.5244065,-72.8047414
780,Wallingford School District,Highland School,Public Schools,1480211,200 Highland Avenue,Wallingford,06492-2135,203-294-3970,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"200 Highland Avenue
Wallingford, CT 06492-2135
(41.488826, -72.841505)","200 Highland Avenue, Wallingford, Connecticut, USA","200 Highland Ave, Wallingford, CT 06492, USA",41.4880067,-72.8392204
781,Windsor Locks School District,North Street School,Public Schools,1650111,325 North St.,Windsor Locks,06096-1243,860-292-5027,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"325 North St.
Windsor Locks, CT 06096-1243
(41.938025, -72.648936)","325 North St., Windsor Locks, Connecticut, USA","325 North St, Windsor Locks, CT 06096, USA",41.9372251,-72.64922330000002
782,Department of Mental Health and Addiction Services,Greater Bridgeport Community Mental Health Center,State Agency Facilities,3370515,1635 Central Ave.,Bridgeport,06610,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2007-07-01T00:00:00.000,0.0,"1635 Central Ave.
Bridgeport, CT 06610
(41.189798, -73.167534)","1635 Central Ave., Bridgeport, Connecticut, USA","1635 Central Ave, Bridgeport, CT 06610, USA",41.1894663,-73.1680581
783,East Haven School District,Momauguin School,Public Schools,440711,99 Cosey Beach Rd.,East Haven,06512-1449,203-468-3321,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0.0,"99 Cosey Beach Rd.
East Haven, CT 06512-1449
(41.248755, -72.872504)","99 Cosey Beach Rd., East Haven, Connecticut, USA","99 Cosey Beach Rd, East Haven, CT 06512, USA",41.2490098,-72.8725997
784,Newtown School District,Newtown High School,Public Schools,976111,12 Berkshire Rd.,Sandy Hook,06482-1398,203-426-7646,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0.0,"12 Berkshire Rd.
Sandy Hook, CT 06482-1398
(41.410803, -73.269315)","12 Berkshire Rd., Sandy Hook, Connecticut, USA","12 Berkshire Rd, Sandy Hook, CT 06482, USA",41.4099636,-73.27110259999999
785,Hartland School District,Hartland School District,Public School Districts,650011,30 South Road,East Hartland,06027,860-653-7207,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0.0,"30 South Road
East Hartland, CT 06027
(41.997103, -72.907759)","30 South Road, East Hartland, Connecticut, USA","30 S Rd, East Hartland, CT 06027, USA",41.9970158,-72.90688879999999
